Time,PT.Motor.Trq,Car.v
0,-8.68E-09,0
0.01,6.739682021e-007,0.000252466
0.02,1.299889277e-006,0.000503863
0.03,1.927152425e-006,0.00075213
0.04,2.536042075e-006,0.000996162
0.05,3.118700761e-006,0.001234771
0.06,3.675303105e-006,0.001466889
0.07,4.205358891e-006,0.001691648
0.08,4.708325832e-006,0.001908357
0.09,5.184113888e-006,0.002116483
0.1,5.632987268e-006,0.002315641
0.11,6.05547848e-006,0.002505585
0.12,6.452332855e-006,0.002686184
0.13,6.824457159e-006,0.002857411
0.14,4.260427952,0.002457408
0.15,8.5934515,0.000529223
0.16,13.05758953,0.002544778
0.17,17.6203022,0.007418909
0.18,22.22215652,0.015028067
0.19,26.83310127,0.025070636
0.2,31.4384594,0.03729508
0.21,36.03019333,0.051548882
0.22,40.59858704,0.068063582
0.23,45.11609268,0.087544928
0.24,49.56259155,0.109919299
0.25,53.92808914,0.135154393
0.26,58.20597076,0.163209924
0.27,62.39112473,0.194032086
0.28,66.47969055,0.227567169
0.29,70.46884155,0.263757437
0.3,74.35665131,0.302541938
0.31,78.14183807,0.343861905
0.32,81.82369232,0.387652024
0.33,85.40206909,0.433848166
0.34,88.87712097,0.482383006
0.35,92.24946594,0.533185976
0.36,95.51994324,0.586189591
0.37,98.68969727,0.641319769
0.38,101.7600861,0.698507791
0.39,104.7325897,0.757680326
0.4,107.6089783,0.818766885
0.41,110.390976,0.881700736
0.42,113.0799255,0.946418094
0.43,115.6772614,1.012836455
0.44,118.1862183,1.080879807
0.45,120.6093597,1.150490319
0.46,122.9488754,1.221617888
0.47,125.2069473,1.294215094
0.48,127.3856888,1.368238162
0.49,129.4871063,1.443644928
0.5,131.5131378,1.520393442
0.51,133.4657135,1.598441647
0.52,135.3467102,1.677746521
0.53,137.1580048,1.758266006
0.54,138.899704,1.840093015
0.55,140.571579,1.92303357
0.56,142.1790771,2.007052372
0.57,143.7245941,2.092106293
0.58,145.2100677,2.178153918
0.59,146.6374207,2.265154908
0.6,148.008606,2.353071497
0.61,149.32547,2.441866777
0.62,150.589859,2.531504486
0.63,151.8035889,2.62195029
0.64,152.9683838,2.713170717
0.65,154.0859985,2.805132935
0.66,155.1581116,2.897806475
0.67,156.1863403,2.991161726
0.68,157.1722717,3.085169933
0.69,158.1174622,3.179803202
0.7,159.023407,3.27503514
0.71,159.8915863,3.370839998
0.72,160.7234039,3.467193529
0.73,161.5202637,3.564071915
0.74,162.283493,3.661452624
0.75,163.0143738,3.759313771
0.76,163.7141724,3.857634541
0.77,164.3841248,3.956394765
0.78,165.0253754,4.055575558
0.79,165.6390686,4.15515804
0.8,166.2262878,4.255125042
0.81,166.7881165,4.35545983
0.82,167.3255615,4.456145664
0.83,167.8396149,4.557166668
0.84,168.3312073,4.658508679
0.85,168.8013,4.760157534
0.86,169.2507324,4.862098642
0.87,169.6804047,4.964319559
0.88,170.091095,5.066807409
0.89,170.4836121,5.169550605
0.9,170.8587341,5.272537132
0.91,171.2171631,5.375756689
