Time,PT.Motor.Trq
0,-8.68E-09
0.01,6.739682021e-007
0.02,1.299889277e-006
0.03,1.927152425e-006
0.04,2.536042075e-006
0.05,3.118700761e-006
0.06,3.675303105e-006
0.07,4.205358891e-006
0.08,4.708325832e-006
0.09,5.184113888e-006
0.1,5.632987268e-006
0.11,6.05547848e-006
0.12,6.452332855e-006
0.13,6.824457159e-006
0.14,4.260427952
0.15,8.5934515
0.16,13.05758953
0.17,17.6203022
0.18,22.22215652
0.19,26.83310127
0.2,31.4384594
0.21,36.03019333
0.22,40.59858704
0.23,45.11609268
0.24,49.56259155
0.25,53.92808914
0.26,58.20597076
0.27,62.39112473
0.28,66.47969055
0.29,70.46884155
0.3,74.35665131
0.31,78.14183807
0.32,81.82369232
0.33,85.40206909
0.34,88.87712097
0.35,92.24946594
0.36,95.51994324
0.37,98.68969727
0.38,101.7600861
0.39,104.7325897
0.4,107.6089783
0.41,110.390976
0.42,113.0799255
0.43,115.6772614
0.44,118.1862183
0.45,120.6093597
0.46,122.9488754
0.47,125.2069473
0.48,127.3856888
0.49,129.4871063
0.5,131.5131378
0.51,133.4657135
0.52,135.3467102
0.53,137.1580048
0.54,138.899704
0.55,140.571579
0.56,142.1790771
0.57,143.7245941
0.58,145.2100677
0.59,146.6374207
0.6,148.008606
0.61,149.32547
0.62,150.589859
0.63,151.8035889
0.64,152.9683838
0.65,154.0859985
0.66,155.1581116
0.67,156.1863403
0.68,157.1722717
0.69,158.1174622
0.7,159.023407
0.71,159.8915863
0.72,160.7234039
0.73,161.5202637
0.74,162.283493
0.75,163.0143738
0.76,163.7141724
0.77,164.3841248
0.78,165.0253754
0.79,165.6390686
0.8,166.2262878
0.81,166.7881165
0.82,167.3255615
0.83,167.8396149
0.84,168.3312073
0.85,168.8013
0.86,169.2507324
0.87,169.6804047
0.88,170.091095
0.89,170.4836121
0.9,170.8587341
0.91,171.2171631
0.92,171.5596161
0.93,171.886795
0.94,172.1993103
0.95,172.497818
0.96,172.7829132
0.97,173.0551605
0.98,173.3151398
0.99,173.563385
1,173.8003845
1.01,174.0266418
1.02,174.24263
1.03,174.4488068
1.04,174.6455994
1.05,174.8334198
1.06,175.0126801
1.07,175.1837463
1.08,175.3470154
1.09,175.5031738
1.1,175.6538696
1.11,175.7982025
1.12,175.9361572
1.13,176.0679779
1.14,176.1938782
1.15,176.3141022
1.16,176.428894
1.17,176.5384979
1.18,176.6431122
1.19,176.742981
1.2,176.8383179
1.21,176.9293213
1.22,177.0162048
1.23,177.0991364
1.24,177.1783295
1.25,177.2539215
1.26,177.3261261
1.27,177.3950806
1.28,177.4609528
1.29,177.52388
1.3,177.5840149
1.31,177.6414948
1.32,177.6964264
1.33,177.7489777
1.34,177.7992249
1.35,177.8472443
1.36,177.8905487
1.37,177.9285736
1.38,177.9628601
1.39,177.9944916
1.4,178.0241699
1.41,178.0523682
1.42,178.0794067
1.43,178.1055145
1.44,178.1308441
1.45,178.1554871
1.46,178.1795197
1.47,178.2029877
1.48,178.2259521
1.49,178.2484283
1.5,178.2704468
1.51,178.2920227
1.52,178.3131866
1.53,178.3339386
1.54,178.3542938
1.55,178.3742981
1.56,178.3939209
1.57,178.4131927
1.58,178.4321442
1.59,178.4507599
1.6,178.4690704
1.61,178.4870605
1.62,178.504776
1.63,178.5222015
1.64,178.5393524
1.65,178.5562439
1.66,178.572876
1.67,178.5892792
1.68,178.6054382
1.69,178.6213837
1.7,178.6371002
1.71,178.6526184
1.72,178.6679382
1.73,178.6830597
1.74,178.6980133
1.75,178.7127686
1.76,178.7273712
1.77,178.7418213
1.78,178.7561035
1.79,178.7702484
1.8,178.784256
1.81,178.7981262
1.82,178.8118591
1.83,178.8254852
1.84,178.8389893
1.85,178.8523865
1.86,178.8656769
1.87,178.8788757
1.88,178.891983
1.89,178.9049988
1.9,178.917923
1.91,178.9307709
1.92,178.9435425
1.93,178.9562531
1.94,178.9688873
1.95,178.9814758
1.96,178.993988
1.97,179.0064545
1.98,179.0188599
1.99,179.0312195
2,179.0435486
2.01,179.0558167
2.02,179.0680542
2.03,179.0802612
2.04,179.0924377
2.05,179.1045837
2.06,179.1166992
2.07,179.1287842
2.08,179.1408539
2.09,179.1528931
2.1,179.1649323
2.11,179.1769409
2.12,179.1889496
2.13,179.200943
2.14,179.2129211
2.15,179.2248993
2.16,179.2368774
2.17,179.2488556
2.18,179.2608185
2.19,179.2727814
2.2,179.2847595
2.21,179.2967377
2.22,179.3087158
2.23,179.3207092
2.24,179.3327026
2.25,179.344696
2.26,179.35672
2.27,179.3687439
2.28,179.3807831
2.29,179.3928528
2.3,179.4049225
2.31,179.4170074
2.32,179.4291229
2.33,179.4412384
2.34,179.4533997
2.35,179.4655457
2.36,179.4777222
2.37,179.4898987
2.38,179.5020905
2.39,179.5142975
2.4,179.5265198
2.41,179.5387421
2.42,179.5509949
2.43,179.5632629
2.44,179.5755463
2.45,179.5878448
2.46,179.600174
2.47,179.6125183
2.48,179.6248779
2.49,179.6372833
2.5,179.649704
2.51,179.6621552
2.52,179.6746521
2.53,179.6871643
2.54,179.699707
2.55,179.7122955
2.56,179.7248993
2.57,179.7375488
2.58,179.7502441
2.59,179.7629547
2.6,179.7757111
2.61,179.7885132
2.62,179.8013306
2.63,179.814209
2.64,179.8271179
2.65,179.8400574
2.66,179.8530426
2.67,179.8660583
2.68,179.8791351
2.69,179.8922272
2.7,179.9053802
2.71,179.9185638
2.72,179.9317932
2.73,179.9450531
2.74,179.9583588
2.75,179.9717102
2.76,179.9850922
2.77,179.9985199
2.78,180.0119934
2.79,180.0255127
2.8,180.0390625
2.81,180.0526581
2.82,180.0662994
2.83,180.0799866
2.84,180.0937042
2.85,180.1074677
2.86,180.1212769
2.87,180.1351166
2.88,180.1490021
2.89,180.1629333
2.9,180.1769104
2.91,180.190918
2.92,180.2049713
2.93,180.2190704
2.94,180.2332001
2.95,180.2473755
2.96,180.2615967
2.97,180.2758484
2.98,180.2901459
2.99,180.3044891
3,180.3188629
3.01,180.3332825
3.02,180.3477325
3.03,180.3622284
3.04,180.37677
3.05,180.3913422
3.06,180.4059601
3.07,180.4206238
3.08,180.435318
3.09,180.4500427
3.1,180.4648132
3.11,180.4796295
3.12,180.4944763
3.13,180.5093536
3.14,180.5242767
3.15,180.5392456
3.16,180.554245
3.17,180.5692749
3.18,180.5843506
3.19,180.5994568
3.2,180.6145935
3.21,180.629776
3.22,180.6450043
3.23,180.6602478
3.24,180.6755371
3.25,180.6908569
3.26,180.7062225
3.27,180.7216187
3.28,180.7370453
3.29,180.7525024
3.3,180.7679901
3.31,180.7835236
3.32,180.7990875
3.33,180.814682
3.34,180.830307
3.35,180.8459778
3.36,180.8616638
3.37,180.8773956
3.38,180.893158
3.39,180.9089508
3.4,180.9247589
3.41,180.9406128
3.42,180.9564972
3.43,180.9724121
3.44,180.9883575
3.45,181.0043335
3.46,181.0203247
3.47,181.0363312
3.48,181.0523682
3.49,181.0684357
3.5,181.0845184
3.51,181.100647
3.52,181.1167908
3.53,181.1329651
3.54,181.1491699
3.55,181.1654053
3.56,181.1816711
3.57,181.1979523
3.58,181.2142639
3.59,181.2306061
3.6,181.2469788
3.61,181.263382
3.62,181.2798004
3.63,181.2962494
3.64,181.3127136
3.65,181.3292236
3.66,181.3457489
3.67,181.3622894
3.68,181.3788605
3.69,181.395462
3.7,181.4120789
3.71,181.4287262
3.72,181.4453888
3.73,181.4620819
3.74,181.4787903
3.75,181.4955292
3.76,181.5122833
3.77,181.5290527
3.78,181.5458527
3.79,181.5626678
3.8,181.5795135
3.81,181.5963593
3.82,181.6132507
3.83,181.6301422
3.84,181.647049
3.85,181.6639862
3.86,181.6809387
3.87,181.6979065
3.88,181.7148895
3.89,181.7319031
3.9,181.7489166
3.91,181.7659607
3.92,181.7830048
3.93,181.8000793
3.94,181.8171539
3.95,181.834259
3.96,181.8513794
3.97,181.8684998
3.98,181.8856506
3.99,181.9028015
4,181.9199677
4.01,181.937149
4.02,181.9543457
4.03,181.9715576
4.04,181.9887695
4.05,182.006012
4.06,182.0232391
4.07,182.0404968
4.08,182.0577698
4.09,182.0750427
4.1,182.0923157
4.11,182.1095886
4.12,182.1268616
4.13,182.1441345
4.14,182.1614227
4.15,182.1787109
4.16,182.1960144
4.17,182.2133331
4.18,182.2306519
4.19,182.2479706
4.2,182.2653046
4.21,182.2826538
4.22,182.2999878
4.23,182.3173523
4.24,182.3347168
4.25,182.3520813
4.26,182.3694611
4.27,182.3868561
4.28,182.4042511
4.29,182.4216614
4.3,182.4390717
4.31,182.4564819
4.32,182.4739075
4.33,182.491333
4.34,182.5087738
4.35,182.5262146
4.36,182.5436554
4.37,182.5610962
4.38,182.5785522
4.39,182.5960083
4.4,182.6134644
4.41,182.6309204
4.42,182.6483765
4.43,182.6658325
4.44,182.6832886
4.45,182.7007446
4.46,182.7182007
4.47,182.7356567
4.48,182.7530975
4.49,182.7705383
4.5,182.7879639
4.51,182.8054047
4.52,182.8228149
4.53,182.8402405
4.54,182.8576508
4.55,182.8750458
4.56,182.8924408
4.57,182.9098206
4.58,182.9272003
4.59,182.9445648
4.6,182.9619293
4.61,182.9792786
4.62,182.9965515
4.63,183.0137939
4.64,183.0310516
4.65,183.0483246
4.66,183.0655823
4.67,183.08284
4.68,183.1000977
4.69,183.1173401
4.7,183.1345825
4.71,183.1518097
4.72,183.1690216
4.73,183.1862183
4.74,183.2033997
4.75,183.2205811
4.76,183.2377319
4.77,183.2548828
4.78,183.2720032
4.79,183.2891235
4.8,183.3062134
4.81,183.3233032
4.82,183.3403625
4.83,183.3574066
4.84,183.3744354
4.85,183.3914337
4.86,183.408432
4.87,183.4253998
4.88,183.442337
4.89,183.4592743
4.9,183.476181
4.91,183.4930725
4.92,183.5099335
4.93,183.5267792
4.94,183.5436096
4.95,183.5604095
4.96,183.577179
4.97,183.5939331
4.98,183.6106567
4.99,183.6273651
5,183.644043
5.01,183.6607056
5.02,183.6773224
5.03,183.693924
5.04,183.7105103
5.05,183.7270508
5.06,183.7435455
5.07,183.759964
5.08,183.7763824
5.09,183.7927704
5.1,183.8091583
5.11,183.8255005
5.12,183.8418274
5.13,183.858139
5.14,183.8744049
5.15,183.8906555
5.16,183.9068604
5.17,183.9230347
5.18,183.9391785
5.19,183.955307
5.2,183.9713745
5.21,183.9874268
5.22,184.0034332
5.23,184.0194092
5.24,184.0353546
5.25,184.0512695
5.26,184.0671387
5.27,184.082962
5.28,184.0987549
5.29,184.1145172
5.3,184.1302338
5.31,184.1459198
5.32,184.1615601
5.33,184.1771545
