Time,Velocity
0,0
0.01,7.04106933e-005
0.02,0.000140523
0.03,0.000209717
0.04,0.000277768
0.05,0.000344308
0.06,0.000409038
0.07,0.000471719
0.08,0.000532155
0.09,0.000590197
0.1,0.000645734
0.11,0.000698697
0.12,0.000749047
0.13,0.000796777
0.14,0.000693041
0.15,0.000154019
0.16,0.000751878
0.17,0.002346441
0.18,0.004712244
0.19,0.007773097
0.2,0.011444837
0.21,0.015690282
0.22,0.020625118
0.23,0.026428964
0.24,0.033077467
0.25,0.040554401
0.26,0.04884642
0.27,0.057935972
0.28,0.067804091
0.29,0.078432418
0.3,0.089800656
0.31,0.101889454
0.32,0.114678092
0.33,0.12814571
0.34,0.142272398
0.35,0.15703617
0.36,0.172417089
0.37,0.188393802
0.38,0.204944849
0.39,0.222050652
0.4,0.239690408
0.41,0.257845044
0.42,0.27649495
0.43,0.295616895
0.44,0.315191209
0.45,0.335202038
0.46,0.355634481
0.47,0.376473904
0.48,0.397707611
0.49,0.419322282
0.5,0.441305101
0.51,0.463643134
0.52,0.486323118
0.53,0.50936383
0.54,0.532735825
0.55,0.556410551
0.56,0.580370307
0.57,0.604604363
0.58,0.629101753
0.59,0.653851032
0.6,0.678841531
0.61,0.70406282
0.62,0.729504705
0.63,0.755157411
0.64,0.78101182
0.65,0.807058811
0.66,0.833289862
0.67,0.859696686
0.68,0.886271596
0.69,0.91300714
0.7,0.939896107
0.71,0.966931582
0.72,0.994107068
0.73,1.021416187
0.74,1.048852921
0.75,1.076411486
0.76,1.104086399
0.77,1.131872177
0.78,1.159763932
0.79,1.187756777
0.8,1.215846062
0.81,1.244027376
0.82,1.272296429
0.83,1.300649166
0.84,1.329081655
0.85,1.357590199
0.86,1.386171341
0.87,1.414821506
0.88,1.443537593
0.89,1.472316384
0.9,1.501155019
0.91,1.530050516
0.92,1.559000134
0.93,1.58800137
0.94,1.61705184
0.95,1.646149039
0.96,1.675290704
0.97,1.704474688
0.98,1.733699083
0.99,1.762961745
1,1.792260766
1.01,1.821594596
1.02,1.850961328
1.03,1.880359411
1.04,1.909787178
1.05,1.939243317
1.06,1.968726397
1.07,1.998234987
1.08,2.027752161
1.09,2.057290554
1.1,2.086852789
1.11,2.116436243
1.12,2.146040201
1.13,2.175663471
1.14,2.205305338
1.15,2.234964848
1.16,2.264641047
1.17,2.29433322
1.18,2.324040413
1.19,2.353761911
1.2,2.383496761
1.21,2.413244724
1.22,2.443004608
1.23,2.472776175
1.24,2.502558708
1.25,2.532351494
1.26,2.562154055
1.27,2.591966152
1.28,2.621786833
1.29,2.651615858
1.3,2.681452751
1.31,2.711297035
1.32,2.741148472
1.33,2.771006584
1.34,2.800870895
