time,ecu,resp_id,did,signal,value,unit
0.011003,ABS / ESP,0x7D9,,speed_kmh,0,km/h
0.023631,ABS / ESP,0x7D9,,steer_raw,32817,raw
0.02863,ABS / ESP,0x7D9,,brake_pedel,30,mm
0.126235,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
0.126235,MCU DID 0101,0x7EC,0101,battery_voltage,383.1,V
0.126235,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
0.126235,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
0.126235,MCU DID 0101,0x7EC,0101,SoC,18688.0,%
0.126235,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
0.126235,MCU DID 0101,0x7EC,0101,rpm,0,rpm
0.145633,ABS / ESP,0x7D9,,speed_kmh,0,km/h
0.158629,ABS / ESP,0x7D9,,steer_raw,32817,raw
0.16361,ABS / ESP,0x7D9,,brake_pedel,30,mm
0.261727,MCU DID 0101,0x7EC,0101,battery_current,1.0,A
0.261727,MCU DID 0101,0x7EC,0101,battery_voltage,383.20000000000005,V
0.261727,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
0.261727,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
0.261727,MCU DID 0101,0x7EC,0101,SoC,18688.0,%
0.261727,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
0.261727,MCU DID 0101,0x7EC,0101,rpm,0,rpm
0.28041,ABS / ESP,0x7D9,,speed_kmh,0,km/h
0.293411,ABS / ESP,0x7D9,,steer_raw,32817,raw
0.298609,ABS / ESP,0x7D9,,brake_pedel,30,mm
0.39104,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
0.39104,MCU DID 0101,0x7EC,0101,battery_voltage,383.20000000000005,V
0.39104,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
0.39104,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
0.39104,MCU DID 0101,0x7EC,0101,SoC,18688.0,%
0.39104,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
0.39104,MCU DID 0101,0x7EC,0101,rpm,0,rpm
0.410624,ABS / ESP,0x7D9,,speed_kmh,0,km/h
0.42315,ABS / ESP,0x7D9,,steer_raw,32817,raw
0.428148,ABS / ESP,0x7D9,,brake_pedel,30,mm
0.526873,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
0.526873,MCU DID 0101,0x7EC,0101,battery_voltage,383.20000000000005,V
0.526873,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
0.526873,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
0.526873,MCU DID 0101,0x7EC,0101,SoC,18688.0,%
0.526873,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
0.526873,MCU DID 0101,0x7EC,0101,rpm,0,rpm
0.545658,ABS / ESP,0x7D9,,speed_kmh,0,km/h
0.558563,ABS / ESP,0x7D9,,steer_raw,32817,raw
0.563669,ABS / ESP,0x7D9,,brake_pedel,30,mm
0.656449,MCU DID 0101,0x7EC,0101,battery_current,1.0,A
0.656449,MCU DID 0101,0x7EC,0101,battery_voltage,383.1,V
0.656449,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
0.656449,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
0.656449,MCU DID 0101,0x7EC,0101,SoC,18688.0,%
0.656449,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
0.656449,MCU DID 0101,0x7EC,0101,rpm,0,rpm
0.675909,ABS / ESP,0x7D9,,speed_kmh,0,km/h
0.687896,ABS / ESP,0x7D9,,steer_raw,32817,raw
0.693928,ABS / ESP,0x7D9,,brake_pedel,30,mm
0.785873,MCU DID 0101,0x7EC,0101,battery_current,1.2000000000000002,A
0.785873,MCU DID 0101,0x7EC,0101,battery_voltage,383.20000000000005,V
0.785873,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
0.785873,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
0.786873,MCU DID 0101,0x7EC,0101,SoC,18688.0,%
0.786873,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
0.786873,MCU DID 0101,0x7EC,0101,rpm,0,rpm
0.805955,ABS / ESP,0x7D9,,speed_kmh,0,km/h
0.818526,ABS / ESP,0x7D9,,steer_raw,32817,raw
0.823618,ABS / ESP,0x7D9,,brake_pedel,30,mm
0.917455,MCU DID 0101,0x7EC,0101,battery_current,1.0,A
0.917455,MCU DID 0101,0x7EC,0101,battery_voltage,383.1,V
0.917455,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
0.917455,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
0.917455,MCU DID 0101,0x7EC,0101,SoC,18688.0,%
0.917455,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
0.917455,MCU DID 0101,0x7EC,0101,rpm,0,rpm
0.937171,ABS / ESP,0x7D9,,speed_kmh,0,km/h
0.949337,ABS / ESP,0x7D9,,steer_raw,32817,raw
0.955342,ABS / ESP,0x7D9,,brake_pedel,30,mm
1.046948,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
1.046948,MCU DID 0101,0x7EC,0101,battery_voltage,383.20000000000005,V
1.046948,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
1.046948,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
1.046948,MCU DID 0101,0x7EC,0101,SoC,18688.0,%
1.046948,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
1.046948,MCU DID 0101,0x7EC,0101,rpm,0,rpm
1.065589,ABS / ESP,0x7D9,,speed_kmh,0,km/h
1.079585,ABS / ESP,0x7D9,,steer_raw,32817,raw
1.083582,ABS / ESP,0x7D9,,brake_pedel,30,mm
1.176676,MCU DID 0101,0x7EC,0101,battery_current,1.0,A
1.176676,MCU DID 0101,0x7EC,0101,battery_voltage,383.20000000000005,V
1.176676,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
1.176676,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
1.176676,MCU DID 0101,0x7EC,0101,SoC,18688.0,%
1.176676,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
1.176676,MCU DID 0101,0x7EC,0101,rpm,0,rpm
1.19719,ABS / ESP,0x7D9,,speed_kmh,0,km/h
1.209205,ABS / ESP,0x7D9,,steer_raw,32817,raw
1.214758,ABS / ESP,0x7D9,,brake_pedel,30,mm
1.311916,MCU DID 0101,0x7EC,0101,battery_current,1.0,A
1.311916,MCU DID 0101,0x7EC,0101,battery_voltage,383.1,V
1.311916,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
1.311916,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
1.311916,MCU DID 0101,0x7EC,0101,SoC,18688.0,%
1.311916,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
1.311916,MCU DID 0101,0x7EC,0101,rpm,0,rpm
1.331126,ABS / ESP,0x7D9,,speed_kmh,0,km/h
1.344013,ABS / ESP,0x7D9,,steer_raw,32817,raw
1.349009,ABS / ESP,0x7D9,,brake_pedel,30,mm
1.441015,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
1.441015,MCU DID 0101,0x7EC,0101,battery_voltage,383.1,V
1.441015,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
1.441015,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
1.441015,MCU DID 0101,0x7EC,0101,SoC,18688.0,%
1.441015,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
1.441015,MCU DID 0101,0x7EC,0101,rpm,0,rpm
1.461711,ABS / ESP,0x7D9,,speed_kmh,0,km/h
1.47396,ABS / ESP,0x7D9,,steer_raw,32817,raw
1.479826,ABS / ESP,0x7D9,,brake_pedel,30,mm
1.571473,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
1.571473,MCU DID 0101,0x7EC,0101,battery_voltage,383.20000000000005,V
1.571473,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
1.571473,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
1.571473,MCU DID 0101,0x7EC,0101,SoC,18688.0,%
1.571473,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
1.571473,MCU DID 0101,0x7EC,0101,rpm,0,rpm
1.591284,ABS / ESP,0x7D9,,speed_kmh,0,km/h
1.603299,ABS / ESP,0x7D9,,steer_raw,32817,raw
1.609294,ABS / ESP,0x7D9,,brake_pedel,30,mm
1.701272,MCU DID 0101,0x7EC,0101,battery_current,1.0,A
1.701272,MCU DID 0101,0x7EC,0101,battery_voltage,383.20000000000005,V
1.701272,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
1.701272,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
1.701272,MCU DID 0101,0x7EC,0101,SoC,18688.0,%
1.701272,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
1.701272,MCU DID 0101,0x7EC,0101,rpm,0,rpm
1.721196,ABS / ESP,0x7D9,,speed_kmh,0,km/h
1.734208,ABS / ESP,0x7D9,,steer_raw,32817,raw
1.739295,ABS / ESP,0x7D9,,brake_pedel,30,mm
1.831425,MCU DID 0101,0x7EC,0101,battery_current,1.0,A
1.831425,MCU DID 0101,0x7EC,0101,battery_voltage,383.1,V
1.831425,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
1.831425,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
1.831425,MCU DID 0101,0x7EC,0101,SoC,18688.0,%
1.831425,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
1.831425,MCU DID 0101,0x7EC,0101,rpm,0,rpm
1.851133,ABS / ESP,0x7D9,,speed_kmh,0,km/h
1.864137,ABS / ESP,0x7D9,,steer_raw,32817,raw
